Score,Rank,Text
2,207,Braintree fireworks night https://t.co/qyXVFgdKa3 #Maldon #Essex https://t.co/2IxEGCQaK7
2,207,_Ÿ’¥ #bonfirenight @ Roundwood Park Fireworks Display https://t.co/20W5KTmASH
1,207,Fireworks chelseaual #impressive @ Chelsea College of Arts https://t.co/bat0NM4WV2
1,207,Watching fireworks on the hillâ˜ºï¸è_Ÿ’• @ Up the Top of the Hill https://t.co/NylfUMcj8y
0,208,Sky fall Fireworks _Ÿ_‰_Ÿ_‰ #fireworks #leedscastle #skyfall #5thnovember #guyfawkes @ Leeds Castle https://t.co/IinxiuuDWf
-1,209,Brentwood centre fireworks! 3.5 wanted a photo! Didn't let him @â€_ https://t.co/Z9iwsdt7lt
2,210,Hurlingham Fireworks @ The Hurlingham Club https://t.co/faAlcoFiKV
-1,211,Cuties at the fireworks _Ÿ’¥ @ Chailey Common https://t.co/913mFSEoaA
1,211,_Ÿ_‰_Ÿ_‰_Ÿ_‰_Ÿ_‰ #leedscastle #5thnovember #guyfawkes #fireworks @ Leeds Castle https://t.co/EXEGBzep3w
1,212,Not impressed with the continuing fireworks! #whippet #stressed #dog @ Home https://t.co/QcZ7eCEKsv
0,212,Pretties #fireworks #hookarena @ Hook Road Arena https://t.co/VkKx4cGmut
1,213,_Ÿ”® @ Fireworks Festival Alexandra Palace https://t.co/yaf4Ui8DmK
2,213,Enjoying the fireworks last night! (Abut blurry I know) _Ÿ˜Å #fireworksâ€_ https://t.co/j28OM5FRUH
2,213,Lasers over London @ Fireworks Festival Alexandra Palace https://t.co/Jhp5oqnoJY
1,214,#fireworks #celebration @ Blackheath  London https://t.co/RRRVjexwaV
1,215,_Ÿ’¥âœ¨_Ÿ’«â_¡ï¸è @ Fireworks Festival Alexandra Palace https://t.co/YngwkeyzCE
-1,215,Fire + work = #fireworks @ Wimbledon Park  London https://t.co/K2GK7KwITG
-2,216,âù_ï¸è_Ÿ’›_Ÿ’__Ÿ’™_Ÿ’œ...awesome fireworks at Battersea tonight!!! matahopo dana_bila hmango13 #battersea #fireworksâ€_ https://t.co/h4DlxwDpvN
2,217,#batterseaparkfireworks2015 @ Battersea Park Fireworks https://t.co/6iVtwZm2Wr
1,217,Hot chocs & fireworks _Ÿ˜»_Ÿ_† @ Kingsmeadow Stadium https://t.co/dNjhiRgAEn
1,218,_Ÿ_†_Ÿ_‡_Ÿ’¥_Ÿ_‰_ŸŒŸ_ŸŒ_ @ Abridge Fireworks Display https://t.co/yN7fYRjzjl
0,219,#aboutbeforeyesterday .. #fireworks on sarahharrisuk @britishvogue head.. _Ÿ_‰_Ÿ’ƒ_Ÿ’ƒ in @nicolemillernycâ€_ https://t.co/TUrIzJ0r1V
1,219,Night at the musical (fireworks) @ Richmond Rugby Club https://t.co/37XCvuq9EM
1,221,#Fireworks #nephew @ Ridgeway Primary School https://t.co/qkCJd2LikN
2,221,Bonfire night #fireworks #londondays #uk #victoriapark @ Victoria Park https://t.co/gmyLp3xsV4
2,223,Bonfire night #southwarkpark #southwarkfireworks @ Southwark Park Fireworks https://t.co/7FEjoDhoki
-1,223,Genomic fireworks! #fireworks #instafireworks #bonfire #bonfirenight @ Welcome Trust Genome Campus https://t.co/IeC8VG8GFZ
2,224,My boys - Bradders  Craig and I at the fireworks _Ÿ’¥_Ÿ’¥_Ÿ˜__Ÿ˜è #ladsladslads #fireworks #cassioburypark #fireâ€_ https://t.co/LjzjHM8TQN
1,225,_Ÿ_†_Ÿ_‡ #fireworks #november @ Carshalton Park https://t.co/St9yD00OGJ
-1,225,Good afternoon London _Ÿ’¥_Ÿ‡¬_Ÿ‡§ @ Fireworks Den https://t.co/Q1ka67Pnit
1,226,#Fireworks #FarnhamFireworks #BonfireNight @ Farnham Park https://t.co/cgJgT9jMli
1,226,Happy #BonfireNight _Ÿ_‰_Ÿ_† #guyfawkes #fireworks @ Victoria Park https://t.co/12CbLZ1Q9W
2,226,Lastnight - with a typical fireworks pic _Ÿ’¥_Ÿ™„_Ÿ˜_âù_ï¸è #greatnight #boom @ Kempton Park Racecourse Fireworksâ€_ https://t.co/GtPYpKG8cG
1,226,Leeds Castle fireworks with my love! â˜ºï¸èâù_ï¸è @ Leeds Castle https://t.co/9Bc5xyGzxZ
2,228,"""Cause you're a sky full of stars..."" Fireworks with my faves last night _Ÿ’• @ Fireworks Festivalâ€_ https://t.co/C9YwloCGm0"
0,229,Night on fire  #guyfawkes #bonfirenight #flares @ Fireworks Festivalâ€_ https://t.co/Hqb08DhQi4
0,230,#excellent #fireworks @ Hampshire Collegiate School https://t.co/zWfu6Qnap2
2,230,Not quite fireworks  but just as pretty âœ¨ @ The Water Poet https://t.co/8xKL6ENXSL
1,231,#nofilter @ St Albans Fireworks https://t.co/RreEnLTvyE
-2,232,Ennio has come for a snuggle - he doesn't like the fireworks @ East Dulwich https://t.co/q4RM138tye
1,233,_Ÿ’™_Ÿ˜_ â˜º _Ÿ˜_ _Ÿ_µ _Ÿ_¶ _Ÿ__ _Ÿ_§ _Ÿ__ _Ÿ“· _Ÿ˜_ _ŸŒŸ_Ÿ_‡_Ÿ_† watching fireworks  from  Bedroom  windowâ€_ https://t.co/W2jsMM98ZV
1,234,_Ÿ’¥_Ÿ’¥_Ÿ’¥ @ Fireworks Festival Alexandra Palace https://t.co/mmIV59Togu
1,235,Center Parcs fireworks 4/11/15 _Ÿ_†_ŸŒ__Ÿ’« #fireworks #centerparcs #elvedonforest #november #holiday @ Centreâ€_ https://t.co/HLE8EOFsdb
-1,235,Part way through loading #Khloe with tonight's gear. #Pyro #Racks #Fireworks @ Aurora Fireworks Ltd https://t.co/b206yXSi4j
0,237,Don't forgot Fireworks for Halloween! _Ÿ‘» @ HaroldWoodfireworkshop https://t.co/hg6xleli4I
0,237,Fireworks with a Doctor Who soundtrack! Loved it. #fireworks #doctorwho _Ÿ_† @ The Hop Farm Family Park https://t.co/QctTFd6W1N
2,238,Fireworks night _Ÿ_†_Ÿ’– @ Blackheath  London https://t.co/ossSDFJG66
-1,238,Fireworks! #Blackheath #Family @ Blackheath Common https://t.co/cbPXmhSeK1
2,238,Watching the fireworks over London last night at The Shard _Ÿ_‡ @ The Shardâ€_ https://t.co/vBQcRNyeVA
2,239,Fireworks last night _Ÿ_†_ŸŒ_ #Fireworks #StokePark #Cute _Ÿ’«_Ÿ’« @ Firework Display Stoke Park https://t.co/LrHL8s9JvD
1,240,Fireworks with these two beauts_Ÿ’™âù_ï¸è #fireworknight @ Barking Park Fireworks https://t.co/PkyWrIa7k0
2,240,FIREWORKS!!!!!!!_Ÿ’œ_Ÿ’œ_Ÿ’œ @ Upchurch Fireworks https://t.co/xDWvP0288R
2,241,#batterseaparkfireworks #fireworks #london @ Battersea Park https://t.co/NGZxF1BkUj
2,241,#batterseaparkfireworks2015 @ Battersea Park Fireworks https://t.co/4j6agc4xKk
0,242,This is about to go down! #fireworks @ Potters Bar https://t.co/6R16E41XPb
1,243,#bombfirenight #fireworks #fireworksdisplay _Ÿ˜Å_Ÿ‘€_Ÿç__Ÿç·_Ÿç¸_Ÿç»_Ÿçº_Ÿ_¶_Ÿ”¥_Ÿ’¥_Ÿ_†_Ÿ_‡ @ LBL Blackheath Fireworks https://t.co/EYQYtpeB2a
1,243,Boat fireworks... That's how we roll #fireworks #boatlife #nearlywentup #lifeonthewater @ Limehouseâ€_ https://t.co/H0dE7b9vs6
1,243,Fireworks tonight!! *squeals*
0,244,#ChiswickPark Fireworks _Ÿ’¥ @ Chiswick Business Park https://t.co/K3RjQdQrj6
-1,244,Ready for the fireworks _Ÿ_† @ Ampthill Fireworks https://t.co/8hMhkTIa5n
1,245,Fireworks a few weeks back were great with Poppy âù_ï¸è poppy_george _Ÿ˜˜âù_ï¸è @â€_ https://t.co/HO7ERzfL3K
0,246,Alexandra Palace âœ¨ @ Fireworks Festival Alexandra Palace https://t.co/WqzwipiWph
1,246,Fireworks!_Ÿ’¥ @ Yarmouth Stadium https://t.co/iCrYNTaVKj
1,247,Fireworks were INNcredible  creds to #towerhamlets #council forâ€_ https://t.co/gB1CWdX55M
1,248,Boom! _Ÿ’¥ #fireworks #guyfawkes #explosion @ Royal Gunpowder Mills https://t.co/oIvYrkqJPI
2,248,Incredible fireworks at ally pally overlooking the city!  #fireworks #guyfawkes #london #cityâ€_ https://t.co/Iv3kzxCGsI
-1,249,2015 Fireworks _Ÿ’« @ Chislehurst Rec https://t.co/36gN8jQqDB
-1,249,4th July fireworks from our balcony with roryj91 jaknight and bknight54! Never watched fireworksâ€_ https://t.co/vj4dw0zqVf
1,249,Bonfire fireworks display at southwark park #GuyFawkesNight #BonfireNight #Fireworks https://t.co/0K9OPmLXx2
1,251,Fireworks!_Ÿ’¥ @ Yarmouth Stadium https://t.co/JlNinhOesv
1,251,St Albans Fireworks. #albansangels #stalbans #abbey #cathedral #fireworks #guyfawkes @ Verulamiumâ€_ https://t.co/rsHi6SEq5E
1,254,#fireworks #ampthillfireworks @ Ampthill Fireworks https://t.co/imB2Icxke4
2,254,So are there fireworks in Vicky Park this year or not? Confused
1,255,Fireworks #batterseafireworks2015 @ Battersea Park https://t.co/tQQ0D3da2X
2,255,Fireworks tonight. I love this photo  pure unadulterated childhoodâ€_ https://t.co/hiMp1YRn7d
-2,255,Rings #glowsticks @ Verulamium Park Fireworks https://t.co/71jRuNscky
2,256,#batterseapark #fireworks @ Battersea Park https://t.co/22xQe56LLX
2,257,Who's enjoyed the fireworks tonight? https://t.co/3oaDKm4Zfd
1,258,Battersea Fireworks @ Battersea Park https://t.co/bZ3h7R8n5v
1,260,Battersea sky bombs @ Battersea Park Fireworks https://t.co/5S8jBoSaob
2,260,Guy Fawkes Night fireworks #fireworks #London @ East Village  London https://t.co/XUKwpzYVRK
0,261,Fireworks at my #niece 13th birthday. #happybirthday #fireworks #aweosmeâ€_ https://t.co/A2blrWaNcq
0,262,All I see is fireworks _Ÿ’¥ @ Battersea Park Fireworks https://t.co/byIdpbOSlO
1,264,#rwc2015final #fireworks @ Twickenham Rugby Staduim https://t.co/ugSt1FhODl
0,264,Fireworks! (@ Victoria Park - @towerhamletsnow in Bow  Greater London) https://t.co/GGA1S3TNWl https://t.co/0g4ASf2qXP
0,265,Fireworks #grandpierweston @ The Grand Pier https://t.co/H3Zn5SV2HL
1,267,#blackheath #fireworks âœ¨ @ Blackheath  London https://t.co/SGkfgt7acq
1,267,#fireworks #woo _Ÿ_‡ @ Blackheath  London https://t.co/isYGWGiE83
-1,269,@westdeancollege fireworks http://t.co/kJSJb7nOKm
0,270,Good night #fireworks #5thnovember #london  #livinginlondon @ Teddington https://t.co/fH7l5UhEaY
2,272,Fireworks night. @ Blythe Hill Fields https://t.co/Hp2rcoAnu4
1,273,#eynsford fireworks https://t.co/dy8yECsuQZ
2,273,Fireworks night with my mama â˜„ #fireworks #bonfirenight #fireworksnight @ Dartford Park https://t.co/AiPyCR4fEd
0,274,Fireworks with a Doctor Who soundtrack! Loved it. _Ÿ_† #fireworks #doctorwho @ The Hop Farm Family Park https://t.co/PUpbQ57jKC
1,275,Fireworks at #blackheath this evening. Beautiful! #blackheathfireworks #fireworks #nov5 @ Blackheathâ€_ https://t.co/URXPcsC4pS
2,275,Lovely fireworks tonight at Victoria Park :) Thanks towerhamletsnow _Ÿ_†   #5thnovember #fireworksâ€_ https://t.co/P4ehep7UjU
1,275,The Alexandra Palace Fireworks Festival 2015.  #allypaly #fireworks #London @timeoutstyle @ Alexanderâ€_ https://t.co/DtGCFOj8fn
1,276,#blackheathfireworks #Fireworks #blackheath @ Blackheath  London https://t.co/QtOF5xvLp9
0,276,All ready to watch the fireworks!! @ Fireworks Festival Alexandra Palace https://t.co/jtCcM8ZKei
1,276,_Ÿ’¥_Ÿ’¥_Ÿ’¥ @ Fireworks Festival Alexandra Palace https://t.co/ykb85ARsbX
1,276,Just posted a photo @ Carshalton Fireworks https://t.co/NbQlKN5ZSm
-2,277,#ducks #fireworks #quackers @ LukeJacob https://t.co/hXoB3H1OK7
1,277,_Ÿ_† _Ÿ_† @ Wimbledon Park Fireworks https://t.co/DdYCLFZwSN
1,278,Fireworks @ Ampthill Fireworks https://t.co/r7bGBNJdAr
1,279,Fireworks with kids and fam last night. @ Battersea Park https://t.co/00UShzYuZ4
1,280,Booooooom âœ¨ love a good fireworks show! #bombfire #battersea #fireworks #weekendfub #london @â€_ https://t.co/tY1xokJbxp
0,280,Magnificient Fireworks Night at Alexandra Palace _Ÿ_†_Ÿ_†_Ÿ_† Musical Fireworks and a super funny German Beerâ€_ https://t.co/8qqSxaBLJ0
1,280,Pictures: St Albans fireworks 2015 https://t.co/OTOsLl0OC7 #StAlbans #Harpenden
2,280,This is how you do fireworks _Ÿ‘Œ_Ÿè»_Ÿ_† #bluewater #fireworks #christmaslights #xmas #christmas #lightshowâ€_ https://t.co/aalyufEs99
-1,281,"@TinfoilTricorn ""motherfuckin' bootleg fireworks"" - did you even watch the video?"
0,281,Me and the wife @ Fireworks Festival Alexandra Palace https://t.co/XWDe9PRbV4
1,282,#samsmith #laymedown #fireworksfestival #fireworkshow #fireworks _Ÿ_‡_Ÿ_† @ Fireworks Festival Alexandraâ€_ https://t.co/YiwrmPhwzL
1,288,_Ÿ_† @ Battersea Park Fireworks https://t.co/9G8w7Bw1Wn
-1,289,@JessyBul Hi jess . The evening starts from 6pm with fireworks around 7.30pm
1,289,_Ÿ’¥_Ÿ’¥_Ÿ’¥ @ Fireworks Festival Alexandra Palace https://t.co/mGlqK8FLr6
-1,289,Obligatory fireworks shot #allypally @ Alexandra Palace https://t.co/ZZHZYObwFj
-1,290,Fireworks at Alexandra Palace last night. @ Fireworks Festival Alexandraâ€_ https://t.co/TecL89o7fI
1,292,Fireworks @ St Pauls  London https://t.co/J4lHcjyQqu
2,293,Bash ment in the park for fireworks night @ Saint Albans https://t.co/cDzfSqqxs5
0,295,I âù_ï¸è London #Fireworks #Hampsteadheath @ Hampstead Heath https://t.co/LI5egz9B3T
2,296,Southwark Park fireworks last night were pretty awesome! #southwark #park #fireworks #fireworksnightâ€_ https://t.co/B2FmxWvzCY
2,297,#allypallyfireworks @ Fireworks Festival Alexandra Palace https://t.co/tLZMUbWO3a
-1,297,05/11/2015 _Ÿ”¥_Ÿ’¥ #5thnovember #guyfawkesnight #bonfirenight #fireworksnight #fireworks @ Chieveleyâ€_ https://t.co/ceXbm2RiFe
1,297,It's that time again and the show is here once again. It's going to be fireworks and you don't wantâ€_ https://t.co/gfbMP0sH6p
2,297,Preparing for #fireworks @ Bianco 43 https://t.co/hem4DIpWL3
1,298,_Ÿ_‡_Ÿ_†_Ÿ’¥ #vickypark #fireworks @ Victoria Park for fireworks https://t.co/hSdqGOdiTo
2,300,Fireworks night! (@ Ewell Scout Hall) https://t.co/soEc1YJWKM
2,301,#fireworksdisplay #fireworks #bombfirenight _Ÿ_†_Ÿ’¥_Ÿ_‡_Ÿçº_Ÿç»_Ÿç__Ÿ_¶_Ÿ‘€_Ÿç·_Ÿ˜‰ @ LBL Blackheath Fireworks https://t.co/z1oGW2JlWV
2,301,_Ÿ’¥_Ÿ’¥ Pretty average _Ÿ˜‰ #Fireworks #BonfireNight @ Victoria Park https://t.co/AxZiIU15Wm
-1,301,The fireworks were fun on Saturday @ Blackheath  London https://t.co/7dcfc0LOH4
1,301,This girl _Ÿ’— tretrunk #fireworks #woolyhat #crabbymccrab #wearesocute @â€_ https://t.co/d5yWM9mj4w
1,302,Blackheath Fireworks _Ÿ_† #fireworks #blackheath #guyfawkes @ Blackheath  London https://t.co/z9KlW7z4xM
1,302,Fireworks #fireworks #guyfawkes #lingfield @ Lingfield Park Racecourse https://t.co/AFm8twAf9I
1,302,More fireworks.   #fireworks #November #vscophile #allypally #guyfawkes #london #alexandrapalaceâ€_ https://t.co/shuKWgRsJu
-1,303,@TinfoilTricorn also calcium carbonate is one of the main ingredients of fireworks. MOTHERFUCKIN' BOOTLEG FIREWORKS.
2,305,#fireworks #london #londonlife #bonfire @ Parsons Green https://t.co/xIoQ3VRZPi
1,305,It's all kicking off! #beerfest #alipali #fireworks #germanbeerfest @ Fireworks Festival Alexandraâ€_ https://t.co/E5zpXKYbDK
0,305,ohh. Fireworks and tall ships. (@ The River Gardens) https://t.co/OFQ9J9P8KA http://t.co/aPYkMOACu6
1,307,#Fireworks last night. @ Fireworks Festival Alexandra Palace https://t.co/0xUlGS91sD
2,307,_Ÿ_† @ Kempton Park Racecourse Fireworks Night https://t.co/gXMT1ABelt
0,308,Communal fireworks are way better @ Alexandra Palace https://t.co/qfxrZv0VUF
1,308,_Ÿ˜_ â˜º _Ÿ˜_ _Ÿ_µ _Ÿ_¶ _Ÿ__ _Ÿ_§ _Ÿ__ _Ÿ“· _Ÿ˜_ _ŸŒŸ_Ÿ_‡_Ÿ_† Watching  Fireworks from my Bedroom Windowâ€_ https://t.co/AB0ahed25V
1,308,FIREWORKS _Ÿ_† My 1st attempt at capturing fireworks _Ÿ˜Å #LO_fireworks #LDN4ALL_topnotch @ London  Unitedâ€_ https://t.co/6xq9MAIDlC
-1,308,Fireworks in Victoria Park  London.   #fireworks #November #winter #love #London @ Victoria Park https://t.co/tYcw7t8NXP
2,309,_Ÿ_† 20 mins fireworks #bonfire #bonfirenight #bonfireworks #fireworks #aroyalnightout #batterseaâ€_ https://t.co/T7V9drescJ
1,311,The cat is not enjoying the fireworks party in my street tonight. _Ÿ˜© https://t.co/wvsjynV8Ft
1,312,_Ÿ’¥_Ÿ’¥_Ÿ’¥ #fireworks #guyfawkes #5thNovember @ Battersea Park Fireworks https://t.co/61XszKEjGr
0,313,Neighbourhood watch #fireworks #eye #candy @ Belsize Park https://t.co/QQ4TUNFrkq
-1,313,No Fireworks from the ECB as Draghi Plays It Cool https://t.co/DlakgmoaUT inewsphoto https://t.co/j9j03mf4cN
1,313,Who's letting off #fireworks in #bethnalgreen 10:30pm on a Sunday night?
1,314,that amazing fireworks finale again #november #blackheath #londonâ€_ https://t.co/3c87nwZHcc
2,318,Farnham fireworks #farnham #fireworks #bonfirenight @ Farnham Park https://t.co/oOg287WCto
2,319,#heart #love #bonfire #fireworks @ Newick https://t.co/TSG65dYUa8
1,321,w/ Sarah  for the fireworks! (@ Belchamps Scout Centre) https://t.co/LAQoayflgP
2,322,Fireworks! (@ Southwark Park in Bermondsey  Greater London) https://t.co/xF5TetZeLE
1,323,#fireworks #london @ Hampstead Heath NW11 https://t.co/2nRG0XXAEg
1,323,#SAS fireworks @SASsoftwareUK #bonfire #fireworks #35 @ SAS UK https://t.co/6Yq6ywGIZT
0,323,Fireworks! (@ Southwark Park in Bermondsey  Greater London w/ @antiquote) https://t.co/9Ht3oYD21g
1,325,#Fireworks At Blackheath Tonight @ Blackheath Common https://t.co/2IDIWDsPSy
-1,325,LondonFire: Remember it is illegal to set off fireworks between 11pm & 7am tomorrow morning https://t.co/ewtLmn7JUs https://t.co/i3QBfYUNaN
-2,326,Brondby v Fc Kobenhavn Fireworks Get in Daniel Agger! https://t.co/V4iJ8EjACH
2,326,Last night at the campus fireworks display with paige_Ÿ_†âù_ @ University ofâ€_ https://t.co/MtMhC4XWkH
1,327,Fireworks @ St Martin's Infant School https://t.co/VhKFGRxWSH
2,327,Fireworks! @ Cleveland Square Gardens https://t.co/TLLpo072Fl
1,328,#fireworks #fireworkshow #fireworksfestival #laymedown #samsmith @ Fireworks Festival Alexandra Palace https://t.co/kqhiRtRLAj
1,332,#fireworks #timelapse @ LBL Blackheath Fireworks https://t.co/gfsarMMO44
0,332,About last night... #fireworks @suppertub #London _Ÿ_† @ Bar 90 https://t.co/m699Mnn4Ms
1,332,Just posted a photo @ Wimbledon Park Fireworks https://t.co/N94AtCrhqq
2,333,Amazing fireworks to celebrate Bonfire Night!  #Fireworks #bonfirenight #england #inspirationâ€_ https://t.co/KEHKWKLzRu
-1,334,#bonfire #littlehampton #huge @ Littlehampton Bonfiire & Fireworks https://t.co/E95WUK1lo5
2,334,Pre #fireworks #selfie _Ÿ_‰ @ Leeds Castle https://t.co/8yoXaQNFpO
2,334,Smiling is the way the soul says hello.  _Ÿ˜†_Ÿ˜†_Ÿ˜† fantastic fireworks in guildford yesterday #fireworksâ€_ https://t.co/JZVrX8zhDG
1,336,#fireworks @ Hampstead Heath NW11 https://t.co/7cBRPRTPaG
1,336,Blackheath Fireworks. #fireworks @ LBL Blackheath Fireworks https://t.co/nhQKJ2rvPi
0,337,Fireworks at ally pally #fireworks #beerfestival #alexandrapalace #boomerang @ Fireworks Festivalâ€_ https://t.co/yzPkGEuojE
-1,338,Happy fireworks night. Thanks #converse. @ Swan Wharf https://t.co/7pgCOhu10y
1,339,Wormley Scouts Fireworks Show - 1st November 2015 #fireworks #fireâ€_ https://t.co/O0j9K38BFY
2,340,_Ÿ_†#fireworks #ravenscourtpark #bonfirenight #london @ Ravenscourt Park Fireworks https://t.co/MuwcKglofP
2,340,The man on the moon can't sleep because of all the fireworks going off.
2,341,_Ÿ_‰_Ÿ__ #fireworks #bonfirenight @ Blackheath Common https://t.co/00iGpG8GIf
1,341,Fireworks starting soon! _Ÿ˜ç #christmasiscoming @ Saint Albans https://t.co/jribCFYMZ6
0,342,And this wasn't even the finale. Phenomenal. #_ŸŒ  #âœ¨ #_Ÿ_† #_Ÿ’« #_Ÿ_‡ #_ŸŒŸ #fireworks #chaseandstatusâ€_ https://t.co/ZoPgcsm7d9
-2,342,Diwali Fireworks 68 - 3 gays and a blur #Friday #smiles #diwali #love #fireworks #sparklers #weekendâ€_ https://t.co/l2p74CksEK
0,343,All the gang at fireworks having fun #royalwindsorracecourse #fireworks #windsor https://t.co/JeWSOXb0cX
1,344,#bombfirenight #fireworks #fireworksdisplay _Ÿ˜‰_Ÿ‘€_Ÿçº_Ÿ˜Å_Ÿç»_Ÿç¸_Ÿ_¶_Ÿ_‡_Ÿ’¥_Ÿ_†_Ÿ”¥ @ LBL Blackheath Fireworks https://t.co/19LviNzJvJ
-1,344,#chucktaylor #fireworks @converse @ Swan Wharf https://t.co/6P3nIUofJz
0,344,#Fireworks @ Blackheath Common https://t.co/jecEI6agQ9
1,344,_Ÿ”¥_Ÿ’¥ Bonfires & Fireworks _Ÿ’¥_Ÿ”¥ @ Battersea Park Fireworks https://t.co/Sj0Ov8mJGb
2,347,#batterseaparkfireworks #fireworks #bonfire #nofilter #autumn @ Battersea Park Fireworks https://t.co/Czyi6vG0xo
2,347,#London #fireworks #alexandrapalace @ Fireworks Festival Alexandra Palace https://t.co/8QQJLGwFSq
2,347,Such a good time tonight in Winchester @ Winchester Fireworks https://t.co/CC9ic7vhmL
1,348,Made fireworks happen. Sold out event #winchester @ Winchester Fireworks https://t.co/yyubhXuG8Y
2,348,Stunning display at Ally Pally tonight #fireworks #alexandrapalace #lasershow @ Fireworks Festivalâ€_ https://t.co/wRYXyihb9I
1,349,Fabulous Battersea Park Fireworks! #London #familyfun #Fireworks #BatterseaPark #GuyFawkesâ€_ https://t.co/cIrgQcXAwb
2,352,#sparklers #bonfire #brilliantbirthdayfun #fireworks #london @ Tooting Commons https://t.co/NE1oA9JfCt
2,353,Battersea fireworks #bonfirenight #fireworks #fireworkslove @ Battersea Park https://t.co/OarEvL8JQp
1,354,RAF Halton fireworks _Ÿ’¥ @ RAF Halton https://t.co/PEPzKOEDY5
1,357,#blackheath #fireworks #greenwich @ Greenwich Park https://t.co/jbfUt3gQK9
2,357,Fireworks on the balcony on bonfire night. _Ÿ_†_Ÿ_‡  #Fireworks #FireworksNight #BonfireNight #Bonfire @â€_ https://t.co/nih83X6kuD
0,358,Backyard fireworks are apparently not illegal in London _Ÿ˜_âù_ï¸è_Ÿ‡¬_Ÿ‡§ #london #fireworks #guyfawkesâ€_ https://t.co/ExYwSDgyDv
1,358,Boom fireworks! @ Southwark Park Fireworks https://t.co/xaDDNiQmf7
1,368,Fireworks (@ Ruislip Rugby Club in Ruislip  uk) https://t.co/9VAl06u2fE
0,368,Time for fireworks? #COYS! https://t.co/OnU0P3SsbR
1,369,_Ÿ_†_Ÿ’–_Ÿ_‡ @ LBL Blackheath Fireworks https://t.co/cmB2TYWQpk
0,371,#Fireworks @ Blackheath  London https://t.co/Z2vumQwkjA
-1,372,Scan your fireworks before you buy with the QR app! Watch the fireworks! #guyfawkes @â€_ https://t.co/asKaJhmCLD
1,372,Watching Fireworks from my balcony tonight  amazing #fireworks #home @â€_ https://t.co/abJQF41tDl
1,373,#fireworks #seans50th #familytime @ Eltham https://t.co/eH5p1yVbZN
1,373,#Fireworks @ Roundwood Park https://t.co/C2thn3IW3m
2,373,...the 7th(?) of November... @ Battersea Park Fireworks https://t.co/ecAvHgfWPH
1,373,Fireworks with my babies âù_ï¸èâù_ï¸èâù_ï¸è @ Wimbledon Park Fireworks https://t.co/WuDLcwEVpr
-1,373,Really enjoyed the bonfire and fireworks in Wrotham last night.â€_ https://t.co/hI0j9rjal6
1,374,Fireworks _Ÿ’¥_Ÿ’¥ @ Woldingham School https://t.co/gZa2IByytv
1,374,Watching fireworks with the cast at the UK premiere of Hunger Gamesâ€_ https://t.co/8M4xau910t
2,375,#pink #fireworks #bonfire #guyfawkesnight @ Battersea Park Fireworks https://t.co/Zgscgv54fv
1,375,Fireworks & â™¥ï¸èâ™¥ï¸è's @ Victoria Park https://t.co/YbtEU81yUe
2,375,Mulled wine and fireworks. @ Victoria Park  London https://t.co/EiFWjYkwtz
2,376,Fireworks and Bonfire show overseeing the North Kensington area  #fireworks #video #bonfirenightâ€_ https://t.co/rAH778nDKR
1,377,_Ÿ’¥_Ÿ’¥_Ÿ’¥_Ÿ’¥#fireworknight #cassioburypark #fireworks @ Cassiobury Park https://t.co/2BqrzuCUX9
1,378,_Ÿ’™_Ÿ˜_ â˜º _Ÿ˜_ _Ÿ_µ _Ÿ_¶ _Ÿ__ _Ÿ_§ _Ÿ__ _Ÿ“· _Ÿ˜_ _ŸŒŸ _Ÿ_‡_Ÿ_† Watching Fireworks from my Bedroom Windowâ€_ https://t.co/XBmPEObRmV
2,379,'Fireworks Frenzy' is on tomorrow with bonfire  fireworks  stunts  monster trucks and more.  Visitâ€_ https://t.co/2WOX9pE4n1
0,379,Lovely evening at Blackmore Fireworks! #sparklers #bonfirenight @â€_ https://t.co/HrhtsHthWi
2,381,_Ÿ’¥ remember  remember #fireworks #blackheath @ Blackheath  London https://t.co/InFvDOx73p
1,383,Fireworks display in Wokingham @ Cantley Park https://t.co/HKpQp0nA6t
-1,383,Ma girls! #friends #fireworks @ Hedgerley https://t.co/brwCFlhIyP
1,388,#blackheath #fireworks #nice @ Blackheath  London https://t.co/XbCRCEs7Yq
-1,388,Love love love fireworks and tonight's were no exception! #guyfawkes #fireworks #wanttopostthemallâ€_ https://t.co/VIKS1LAwif
2,390,#wimbledon #wimbledonpark #fireworks #londonsburning #guyfawkesnight @ Wimbledon Park Fireworks https://t.co/T80qYOu8zm
1,390,Best fireworks @ Victoria Park https://t.co/CxSFw0Dn5v
-1,390,The lighting of the beacon #fireworks #tradition #remember @ Stoke Park â€_ https://t.co/k13w84k6ad
0,391,Fireworks and Sparklers with these two _Ÿ’—_Ÿ’™_Ÿ_† @ayresyrichard sarah_stace #Bonfire #Fireworks @â€_ https://t.co/XTUbYNYhsm
2,392,Fireworks from the Heath _Ÿ_† #nobonfire #nofilter @ LBL Blackheath Fireworks https://t.co/aTpz6LsbeR
1,392,Just posted a photo @ Battersea Park Fireworks https://t.co/SaJr3fXFhr
1,393,Fireworks with these gals _Ÿ˜ç_Ÿ’« @ Fireworks Festival Alexandra Palace https://t.co/1ivMh9gtQ8
0,394,#fireworks #cassiobury @ Cassiobury Park https://t.co/yBF6dacBOo
1,395,Happy 300th birthday #Martell300 #fireworks #gardenparty @ French Embassy https://t.co/AdVUel2XXO
